dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,Nx*c,V(mm鲁),P
8,1.2,4.5,8953.88 ,0.96 ,,12.7,5.5,4.5,19172.77 ,0.70 ,,,,,,,,10,5.2,6,11267.9424,0.741031095
8,1.8,4.5,8576.76 ,0.93 ,,12.7,5.5,3,12006.74 ,0.66 ,,,,,,,,10,5.4,6,9729.9072,0.790807456
8,1.8,4.5,9437.88 ,0.88 ,,12.7,5.5,3,13313.24 ,0.65 ,,,,,,,,10,1,6,7951.8816,0.800217241
8,2.6,4.5,9163.20 ,0.92 ,,12.7,5.5,4.5,18762.74 ,0.89 ,,,,,,,,10,1.2,6,9343.5264,0.77388902
8,2.6,4.5,10083.20 ,0.86 ,,12.7,5.5,3,12659.99 ,0.79 ,,,,,,,,10,1.6,6,8307.936,0.800432563
8,3.4,4.5,10728.52 ,0.85 ,,12.7,5.5,3,13966.49 ,0.78 ,,,,,,,,10,1.6,6,9618.336,0.785050102
8,3.6,4.5,9896.26 ,0.93 ,,12.7,5.5,4,12488.93 ,0.47 ,,,,,,,,10,2,6,9893.1456,0.795844294
8,3.6,4.5,10889.86 ,0.87 ,,12.7,5.5,6,16961.87 ,0.63 ,,,,,,,,10,2.2,6,8663.9904,0.825098552
8,3.8,4.5,10042.87 ,0.95 ,,12.7,5.5,6,18971.57 ,0.60 ,,,,,,,,10,2.4,6,10167.9552,0.815654635
8,4.6,4.5,11696.51 ,0.90 ,,12.7,5.5,4,11726.48 ,0.59 ,,,,,,,,10,2.6,6,8901.36,0.845604017
8,4.8,4.5,11857.84 ,0.91 ,,12.7,5.5,4,13251.38 ,0.58 ,,,,,,,,10,2.6,6,10305.36,0.830083653
8,1.8,3,5158.51 ,0.71 ,,12.7,5.5,4,14013.83 ,0.73 ,,,,,,,,10,3,6,10580.1696,0.85046491
8,1.8,3,5786.83 ,0.68 ,,12.7,5.5,4,13251.38 ,0.92 ,,,,,,,,10,3.2,6,9257.4144,0.887907356
8,2.4,3,5461.95 ,0.72 ,,12.7,5.5,4,14776.28 ,0.92 ,,,,,,,,10,3.6,6,10992.384,0.883554526
8,2.4,3,6127.23 ,0.69 ,,12.7,5.5,5,13529.02 ,0.53 ,,,,,,,,10,3.8,6,9613.4688,0.924308397
8,3.2,3,5866.54 ,0.73 ,,12.7,5.5,7.5,18573.66 ,0.70 ,,,,,,,,10,3.8,6,11129.7888,0.89665594
8,3.2,3,6581.10 ,0.71 ,,12.7,5.5,5,12649.37 ,0.71 ,,,,,,,,10,4,6,9732.1536,0.938092798
8,3.4,3,5967.68 ,0.75 ,,12.7,5.5,5,13529.02 ,0.94 ,,,,,,,,10,4.2,6,11404.5984,0.915538274
8,4,3,7034.97 ,0.73 ,,12.7,5.5,5,15288.32 ,0.93 ,,,,,,,,10,4.4,6,11542.0032,0.928080671
8,4.2,3,6372.27 ,0.78 ,,12.7,5.5,8,15837.12 ,0.90 ,,,,,,,,10,4.6,6,10088.208,0.965997003
8,4.2,3,7148.43 ,0.75 ,,12.7,5.5,8,18395.62 ,0.88 ,,,,,,,,10,4.8,6,10206.8928,0.981901065
8,4.4,3,6473.42 ,0.79 ,,13.6,5,2,9784.54 ,0.50 ,,,,,,,,10,5,6,11954.2176,0.965775505
8,1.6,4.5,9064.94 ,0.99 ,,13.6,5,2,10939.74 ,0.46 ,,,,,,,,10,5.2,6,12091.6224,0.980703585
8,1.6,4.5,9911.34 ,0.95 ,,13.6,5,3,13907.38 ,0.63 ,,,,,,,,10.5,4,7,9142.7,0.969730377
8,2,4.5,10256.09 ,0.95 ,,13.6,5,2,10939.74 ,0.42 ,,,,,,,,10.5,4,7,10971.24,0.807248592
